OPEID,CITY,INSTNM,INSTURL,STABBR
332907,DuBois,Pennsylvania State University-Penn State DuBois,www.dubois.psu.edu/,PA
303900,Columbus,Columbus College of Art and Design,WWW.CCAD.EDU,OH
332906,Reading,Pennsylvania State University-Penn State Berks,www.berks.psu.edu/,PA
320900,Monmouth,Western Oregon University,www.wou.edu,OR
196400,Georgetown,Georgetown College,www.georgetowncollege.edu,KY
347400,Vermillion,University of South Dakota,WWW.USD.EDU,SD
379400,Lacey,Saint Martin's University,www.stmartin.edu,WA
109400,Clarksville,University of the Ozarks,www.ozarks.edu,AR
174500,Quincy,Quincy University,www.quincy.edu,IL
376700,Norfolk,Virginia Wesleyan College,www.vwc.edu,VA
350000,Cleveland,Lee University,www.leeuniversity.edu,TN
647700,Concord,Cabarrus College of Health Sciences,www.cabarruscollege.edu/index.cfm,NC
347800,Clarksville,Austin Peay State University,www.apsu.edu,TN
392400,Stevens Point,University of Wisconsin-Stevens Point,www.uwsp.edu,WI
308500,Cleveland,Notre Dame College,www.notredamecollege.edu,OH
392300,River Falls,University of Wisconsin-River Falls,www.uwrf.edu,WI
389600,Milwaukee,University of Wisconsin-Milwaukee,www.uwm.edu,WI
331600,California,California University of Pennsylvania,www.calu.edu,PA
360200,Dallas,Paul Quinn College,www.pqc.edu,TX
177100,Palos Heights,Trinity Christian College,www.trnty.edu,IL
201600,New Orleans,Loyola University New Orleans,www.loyno.edu,LA
300800,Valley City,Valley City State University,www.vcsu.edu,ND
315200,Edmond,University of Central Oklahoma,www.uco.edu,OK
1212300,Ramey,University of Puerto Rico-Aguadilla,www.uprag.edu,PR
246400,Saint Louis,Fontbonne University,www.fontbonne.edu,MO
330300,Pittsburgh,Carlow University,www.carlow.edu,PA
332400,Mansfield,Mansfield University of Pennsylvania,www.mansfield.edu,PA
927500,Highland Heights,Northern Kentucky University,www.nku.edu,KY
253100,Butte,Montana Tech of the University of Montana,www.mtech.edu,MT
391500,Menomonie,University of Wisconsin-Stout,www.uwstout.edu,WI
135300,Durango,Fort Lewis College,fortlewis.edu/,CO
182800,Fort Wayne,Indiana University-Purdue University-Fort Wayne,www.ipfw.edu,IN
229300,Sault Ste Marie,Lake Superior State University,www.lssu.edu,MI
236900,Minneapolis,North Central University,www.northcentral.edu,MN
194800,Lawrence,University of Kansas,www.ku.edu,KS
368300,Castleton,Castleton University,www.castleton.edu,VT
348700,Johnson City,East Tennessee State University,www.etsu.edu,TN
347100,Brookings,South Dakota State University,www.sdstate.edu/,SD
328000,La Plume,Keystone College,www.keystone.edu,PA
240300,Cleveland,Delta State University,www.deltastate.edu,MS
155800,Brunswick,College of Coastal Georgia,www.ccga.edu,GA
450900,Colorado Springs,University of Colorado Colorado Springs,www.uccs.edu,CO
331800,Clarion,Clarion University of Pennsylvania,www.clarion.edu,PA
253600,Missoula,The University of Montana,www.umt.edu,MT
2234500,Boise,Boise Bible College,www.boisebible.edu,ID
136500,Pueblo,Colorado State University-Pueblo,www.csupueblo.edu,CO
161700,Caldwell,The College of Idaho,www.collegeofidaho.edu,ID
330600,Phoenixville,University of Valley Forge,www.valleyforge.edu,PA
726300,Notre Dame,Holy Cross College,www.hcc-nd.edu,IN
357800,San Antonio,University of the Incarnate Word,www.uiw.edu,TX
200100,Crestview Hills,Thomas More College,www.thomasmore.edu,KY
200200,Bowling Green,Western Kentucky University,www.wku.edu,KY
1258000,Florissant,Saint Louis Christian College,www.stlchristian.edu,MO
332300,Lock Haven,Lock Haven University,www.lhup.edu,PA
349200,Henderson,Freed-Hardeman University,www.fhu.edu,TN
362500,Alpine,Sul Ross State University,www.sulross.edu,TX
233600,Bemidji,Bemidji State University,www.bemidjistate.edu,MN
361000,Kerrville,Schreiner University,www.schreiner.edu,TX
374200,Sweet Briar,Sweet Briar College,www.sbc.edu,VA
242200,Columbus,Mississippi University for Women,www.muw.edu,MS
339200,New Wilmington,Westminster College,www.westminster.edu,PA
369300,Bennington,Southern Vermont College,www.svc.edu,VT
319800,McMinnville,Linfield College-McMinnville Campus,www.linfield.edu,OR
273400,Houghton,Houghton College,www.houghton.edu,NY
398700,Pittsburgh,La Roche College,www.laroche.edu,PA
398800,Aston,Neumann University,www.neumann.edu,PA
345900,Spearfish,Black Hills State University,www.bhsu.edu,SD
109200,Conway,University of Central Arkansas,www.uca.edu,AR
269800,Staten Island,College of Staten Island CUNY,www.csi.cuny.edu,NY
358600,Lubbock,Lubbock Christian University,https://www.lcu.edu,TX
392100,Platteville,University of Wisconsin-Platteville,www.uwplatt.edu,WI
352300,Cookeville,Tennessee Technological University,www.tntech.edu,TN
313100,Toledo,University of Toledo,www.utoledo.edu/,OH
327700,Indiana,Indiana University of Pennsylvania-Main Campus,www.iup.edu,PA
182200,Marion,Indiana Wesleyan University-Marion,www.indwes.edu,IN
187300,Dubuque,Loras College,www.loras.edu,IA
270300,Bronx,College of Mount Saint Vincent,www.mountsaintvincent.edu,NY
884900,West Palm Beach,Palm Beach Atlantic University,www.pba.edu,FL
314200,Wilmington,Wilmington College,www.wilmington.edu,OH
905800,Saint Paul,Bethel University,https://www.bethel.edu,MN
372300,Staunton,Mary Baldwin College,www.mbc.edu,VA
368800,Johnson,Johnson State College,www.jsc.edu,VT
312300,Akron,University of Akron Main Campus,www.uakron.edu,OH
368100,Salt Lake City,Westminster College,www.westminstercollege.edu,UT
248800,Joplin,Missouri Southern State University,www.mssu.edu,MO
136300,Denver,Regis University,www.regis.edu/,CO
188900,Davenport,Saint Ambrose University,www.sau.edu,IA
378300,Kirkland,Northwest University,www.northwestu.edu,WA
159700,Cleveland,Truett-McConnell College,www.truett.edu,GA
348400,Lookout Mountain,Covenant College,www.covenant.edu,GA
183200,Fort Wayne,University of Saint Francis-Fort Wayne,www.sf.edu,IN
394600,Charlotte Amalie,University of the Virgin Islands,www.uvi.edu,VI
180300,Huntington,Huntington University,www.huntington.edu,IN
315400,Ada,East Central University,https://www.ecok.edu,OK
346900,Sioux Falls,University of Sioux Falls,www.usiouxfalls.edu/,SD
236100,New Ulm,Martin Luther College,www.mlc-wels.edu,MN
137200,Gunnison,Western State Colorado University,www.western.edu,CO
