opeid,c150_4,c150_4_rank
294400,0.3686,1065
269900,0.7084,227
325900,0.6127,446
218500,0.514,708
210700,0.6278,403
710900,0.3724,1059
348100,0.4797,799
351100,0.5795,528
212300,0.309,1166
282300,0.5875,504
258600,0.5122,714
383100,0.6374,379
290600,0.6973,245
232600,0.5006,738
315100,0.3708,1063
172400,0.6136,444
262902,0.6589,335
109800,0.3619,1075
359900,0.4275,952
271300,0.3882,1029
252400,0.5962,475
295300,0.3588,1084
322400,0.802,122
365200,0.4811,793
239400,0.5716,540
241500,0.5352,644
212200,0.6319,393
265100,0.2797,1190
157200,0.5132,711
171000,0.7335,190
262100,0.5854,510
259700,0.3189,1152
387500,0.4586,862
238900,0.6676,311
345100,0.4522,883
253400,0.4162,971
3101900,0.413,978
146700,0.4965,752
181100,0.268,1199
141705,0.5357,641
259800,0.6159,439
335400,0.6603,332
316500,0.4744,817
278200,0.4475,890
297500,0.5453,615
368400,0.5712,544
319300,0.3387,1117
294200,0.238,1220
251800,0.5221,686
234600,0.7242,197
164100,0.7383,185
2136600,0.6143,440
299000,0.4869,773
236500,0.6408,374
180100,0.686,269
167800,0.5294,664
246300,0.4793,803
306900,0.2946,1183
304100,0.4862,776
934500,0.669,307
3724300,0.5369,639
331300,0.532,651
200800,0.5236,683
162400,0.5183,694
223900,0.5241,681
163900,0.386,1034
136000,0.2414,1219
383200,0.3571,1090
344800,0.73,192
208300,0.321,1148
134500,0.2125,1226
144300,0.4581,863
359400,0.502,736
303000,0.3185,1154
337903,0.5214,687
340700,0.426,956
344900,0.3864,1033
313400,0.4364,928
200300,0.5203,688
376500,0.3263,1138
372100,0.8243,91
919200,0.4587,861
369200,0.5766,534
141704,0.5246,678
307700,0.7899,136
278800,0.6409,373
281600,0.7985,126
2066200,0.6021,464
140200,0.7596,166
274800,0.7209,205
115400,0.4974,747
332700,0.6745,288
203200,0.4373,921
148100,0.4595,859
229000,0.7886,138
364400,0.5908,496
234300,0.6139,442
316300,0.3438,1110
196200,0.3556,1092
2270600,0.4706,827
252300,0.6639,322
183300,0.4561,870
125100,0.6311,398
180400,0.5156,703
381200,0.3338,1125
275800,0.7507,173
2141500,0.6504,353
236000,0.5036,732
125300,0.6327,391
231800,0.5395,634
374900,0.6688,308
999200,0.2083,1227
352500,0.4343,933
386300,0.7928,133
158000,0.626,411
244100,0.4844,785
372000,0.5599,567
261700,0.638,377
208600,0.6439,366
237500,0.432,937
398200,0.6505,352
230700,0.456,871
292900,0.5397,633
332916,0.3178,1158
4127100,0.6356,386
234200,0.5853,511
181400,0.2786,1192
712100,0.6374,379
288500,0.7743,153
366500,0.4047,997
388400,0.6773,285
162600,0.5779,531
377800,0.8315,87
316700,0.4631,849
211400,0.3774,1050
167600,0.7396,183
316600,0.5865,507
143100,0.7898,137
220100,0.3533,1095
101600,0.3887,1028
184700,0.4579,864
282100,0.7153,216
233400,0.6264,407
154600,0.3032,1173
260800,0.4821,790
291300,0.5056,726
178800,0.7784,148
219300,0.4083,989
352800,0.6619,326
308900,0.6905,260
386800,0.5616,563
214400,0.4316,942
195200,0.6773,285
332500,0.6415,372
336600,0.7209,205
2065300,0.3483,1104
280500,0.6293,400
271200,0.4398,915
374700,0.459,860
226600,0.4537,880
189500,0.3305,1127
225900,0.3655,1070
185000,0.6807,276
703200,0.5,744
172500,0.5561,577
232300,0.5438,620
754400,0.625,415
391100,0.4846,784
175300,0.5714,543
178100,0.8931,53
159100,0.4515,884
179800,0.6113,452
291000,0.3811,1045
186000,0.778,149
224300,0.5554,581
214700,0.6417,370
373600,0.6371,382
321600,0.4205,964
306600,0.4859,777
266800,0.5538,586
307300,0.6312,397
407200,0.5629,559
158500,0.2513,1213
337600,0.3596,1081
126200,0.7342,188
190300,0.5768,533
237100,0.6681,309
335000,0.5956,480
235400,0.6459,363
265700,0.4569,869
157300,0.3206,1149
178000,0.5426,625
227500,0.8159,102
254800,0.5875,504
256500,0.6679,310
189300,0.383,1041
184400,0.7349,187
258901,0.4667,841
260300,0.6231,420
262200,0.4848,781
4095300,0.5294,664
281700,0.6803,278
241000,0.4318,939
110600,0.4056,994
181300,0.4343,933
185200,0.741,179
143600,0.4103,984
180500,0.3118,1164
218800,0.4598,858
110200,0.5817,523
245800,0.6742,291
231100,0.6563,341
282500,0.6803,278
335700,0.5827,521
326200,0.6949,250
350500,0.5421,626
221100,0.6872,267
134900,0.4635,848
262800,0.632,392
114600,0.5926,489
242300,0.6043,461
363200,0.7934,131
326700,0.6468,360
187400,0.8159,102
345600,0.5144,706
161100,0.3843,1036
180800,0.4068,991
110700,0.3061,1171
324700,0.7116,221
216000,0.5826,522
341800,0.5175,695
140600,0.5287,666
196100,0.8214,94
226200,0.5714,543
383900,0.6069,459
370900,0.473,820
307200,0.5141,707
297900,0.51,717
323000,0.7829,141
320800,0.6625,324
336800,0.7421,177
352700,0.3619,1075
204300,0.4209,963
406900,0.479,805
304500,0.5463,611
223600,0.6075,457
102400,0.329,1132
248200,0.6604,330
252100,0.6364,384
351000,0.462,852
230100,0.4847,783
142200,0.527,671
198900,0.6139,442
329300,0.6176,435
218700,0.5169,696
218400,0.5675,549
346500,0.5441,619
382300,0.4,1006
109000,0.393,1022
266600,0.6398,375
182600,0.2415,1218
301200,0.5684,548
3106200,0.3068,1168
375400,0.8258,90
115000,0.4373,921
254200,0.7785,147
195900,0.3937,1019
148700,0.6571,338
302300,0.5902,499
361500,0.5511,593
371900,0.6616,327
218000,0.7033,238
202100,0.3779,1048
450800,0.3996,1007
185900,0.6558,343
325800,0.7796,144
352600,0.5138,709
132200,0.6871,268
293000,0.3697,1064
170000,0.4972,749
224100,0.7369,186
290700,0.6416,371
314400,0.7113,222
295400,0.3435,1111
327500,0.5561,577
371100,0.2513,1213
181600,0.2587,1208
285600,0.364,1073
353100,0.4704,828
379000,0.7764,152
346100,0.441,912
369600,0.7558,169
276900,0.4393,918
308300,0.6275,404
185600,0.6569,339
360600,0.5306,659
199900,0.5353,642
196300,0.4186,969
169200,0.7192,207
3071900,0.6447,364
143700,0.6659,318
330200,0.4417,910
296800,0.3285,1134
329600,0.6896,262
261600,0.6719,300
746600,0.5066,723
238000,0.646,362
310000,0.672,298
182000,0.548,605
100400,0.4438,904
350200,0.4688,834
377500,0.4577,865
246100,0.626,411
177600,0.5968,473
249500,0.7054,232
174100,0.5593,568
302500,0.7025,239
337904,0.5283,668
218900,0.6269,406
262500,0.5091,719
204100,0.4955,757
324500,0.4742,818
270900,0.4808,794
332914,0.4255,958
323300,0.5326,649
353000,0.6931,255
150500,0.4049,996
322300,0.6881,266
317000,0.6103,456
648700,0.5,744
316100,0.3074,1167
378500,0.6798,279
298500,0.5081,720
304800,0.4701,830
201700,0.4119,979
324100,0.503,733
311000,0.5903,498
373500,0.5918,492
112200,0.6891,264
277500,0.6972,247
384200,0.6119,449
229200,0.6363,385
263200,0.6645,321
342300,0.6888,265
648900,0.7857,139
325200,0.5828,520
251900,0.4165,970
312500,0.5956,480
128100,0.6667,317
155600,0.4659,846
332910,0.3836,1039
122000,0.6243,417
1011500,0.3111,1165
327600,0.6116,451
130200,0.6902,261
708500,0.5842,515
183900,0.5394,635
325600,0.6736,294
180900,0.7764,152
332915,0.4601,857
210900,0.6784,282
123800,0.7178,211
335900,0.6217,426
384800,0.6208,427
160200,0.6126,447
391900,0.6835,272
252500,0.5272,670
215800,0.5655,555
248500,0.4,1006
327000,0.5959,477
308400,0.5259,674
137100,0.7648,158
192700,0.3874,1030
381500,0.4449,902
157900,0.303,1174
114900,0.4384,919
249600,0.499,745
148200,0.5106,716
261300,0.3179,1157
254100,0.663,323
201000,0.6739,293
201300,0.3066,1169
374600,0.7288,194
108102,0.5948,483
386100,0.5599,567
746800,0.6552,344
181500,0.2836,1189
238800,0.5924,490
341400,0.5887,501
221000,0.4745,816
249900,0.6927,256
161600,0.3571,1090
316800,0.1877,1235
282000,0.5477,607
176700,0.5092,718
202000,0.405,995
154100,0.1618,1244
338400,0.8044,119
292300,0.5863,508
352900,0.3983,1011
232900,0.3431,1113
321900,0.3956,1016
345700,0.7807,143
227300,0.7975,127
383000,0.5838,517
159000,0.2751,1195
174900,0.3035,1172
251600,0.6948,251
326600,0.6581,336
233700,0.547,609
117900,0.5306,659
189000,0.6395,376
319400,0.6484,358
321000,0.6307,399
108101,0.5918,492
188300,0.6314,396
189100,0.4806,795
303600,0.7636,161
245400,0.5294,664
332911,0.5192,691
342800,0.6655,319
255500,0.6945,252
158600,0.5123,713
328700,0.6619,326
124300,0.655,345
362100,0.6667,317
171700,0.2889,1186
226000,0.4303,945
239600,0.4035,999
295700,0.6189,432
255400,0.4462,897
205100,0.6262,409
259000,0.6221,424
204400,0.6966,249
339400,0.5564,574
232700,0.3428,1114
299200,0.4611,856
317900,0.2882,1187
237900,0.8048,118
358100,0.3289,1133
161000,0.5619,561
189600,0.7104,224
649400,0.7143,220
108103,0.5833,518
209500,0.8144,104
373200,0.5874,505
214000,0.7811,142
365400,0.5188,692
343000,0.4729,822
157000,0.352,1099
379802,0.6741,292
192600,0.501,737
224600,0.4545,878
379700,0.7604,164
218300,0.5915,493
332913,0.4702,829
254400,0.5911,494
134100,0.7788,146
398600,0.7065,230
112500,0.5538,586
332200,0.553,588
398500,0.5344,645
3091300,0.5,744
358800,0.4779,808
197700,0.52,689
231400,0.4044,998
140900,0.5067,722
329800,0.7969,128
115600,0.5549,584
258900,0.7613,163
376400,0.4248,960
260700,0.4794,801
180000,0.6486,357
222600,0.5946,485
831000,0.2194,1223
337902,0.5068,721
293300,0.6318,394
268100,0.6791,280
181700,0.3155,1161
392000,0.5434,623
226800,0.6494,356
321200,0.5942,487
135000,0.6525,348
313500,0.5484,604
260701,0.5571,573
2075800,0.7241,199
283200,0.5739,538
383800,0.6107,455
139700,0.496,755
318000,0.359,1082
119600,0.618,434
189200,0.7004,243
342100,0.7082,228
373400,0.4097,986
332904,0.4096,987
163400,0.5756,536
244000,0.6136,444
332912,0.4787,806
322700,0.7718,155
318400,0.6744,289
367500,0.6221,424
332000,0.5555,579
175800,0.4433,906
389200,0.7006,242
392600,0.5769,532
290300,0.8547,73
111700,0.6716,302
372800,0.5158,702
259900,0.6129,445
105500,0.4614,854
332920,0.6734,295
380000,0.6724,297
357500,0.4474,891
234100,0.8131,105
237700,0.4476,889
271800,0.5804,527
135800,0.3313,1126
184200,0.6718,301
354100,0.2975,1180
180700,0.3991,1008
205300,0.5966,474
373700,0.5464,610
640400,0.6607,329
198700,0.7048,234
720600,0.4293,948
222500,0.6371,382
2358000,0.7191,208
347900,0.6972,247
299700,0.5608,565
109900,0.7256,195
346600,0.4422,908
305000,0.7148,219
179500,0.6445,365
383700,0.4651,847
275100,0.4067,992
332600,0.5495,599
102000,0.3009,1177
314500,0.3294,1130
183600,0.8088,113
105700,0.3824,1044
332918,0.4727,823
195400,0.6755,287
378800,0.7514,171
349000,0.4019,1001
100900,0.7086,225
339100,0.5851,512
363900,0.3541,1094
1116300,0.4486,888
332908,0.4706,827
391700,0.6823,274
202400,0.3724,1059
332917,0.4888,771
253200,0.4964,753
256800,0.5478,606
221800,0.5453,615
205400,0.3239,1141
372400,0.5124,712
216500,0.7105,223
158200,0.5286,667
233000,0.5401,629
255100,0.5643,557
137000,0.6982,244
261000,0.3551,1093
361200,0.1917,1233
236700,0.4193,965
346300,0.407,990
303200,0.393,1022
257500,0.4557,873
108100,0.6343,388
305100,0.5505,594
197600,0.4273,954
114200,0.4796,800
379801,0.55,596
344600,0.3824,1044
380200,0.715,218
1116100,0.3801,1046
155900,0.4115,980
332921,0.4304,944
250100,0.512,715
146800,0.327,1135
279100,0.5489,600
250300,0.5474,608
332902,0.5399,632
365100,0.7038,237
318100,0.3359,1124
355700,0.3231,1142
364600,0.4394,917
188700,0.7254,196
160500,0.4873,772
194600,0.4823,789
205000,0.5661,552
105200,0.5554,581
382700,0.5725,539
251700,0.6332,389
332909,0.5379,638
300500,0.5549,584
501500,0.3061,1171
2070500,0.5583,570
330100,0.6925,257
108900,0.4455,901
377100,0.5341,646
267000,0.5437,621
234500,0.7222,200
273700,0.5841,516
332905,0.6853,271
214300,0.4496,886
256900,0.3914,1026
186900,0.6893,263
175900,0.505,727
209200,0.719,209
993000,0.3373,1118
140100,0.2615,1203
389900,0.506,725
4193700,0.6,468
222800,0.5513,592
303300,0.5267,672
331500,0.6482,359
194000,0.538,637
347000,0.5382,636
183800,0.7419,178
332903,0.6462,361
200500,0.3969,1013
215300,0.716,214
392500,0.4323,936
277800,0.588,502
332907,0.5193,690
303900,0.5556,578
332906,0.5693,546
320900,0.4683,836
196400,0.5488,601
347400,0.5552,582
379400,0.4772,811
109400,0.4769,812
174500,0.4898,770
376700,0.4802,798
350000,0.5448,618
647700,0.375,1053
347800,0.365,1071
392400,0.602,465
308500,0.3616,1077
392300,0.5428,624
389600,0.435,930
331600,0.5253,676
360200,0.038,1250
177100,0.5787,529
201600,0.6194,430
300800,0.4805,797
315200,0.373,1056
1212300,0.337,1122
246400,0.4813,792
330300,0.5973,472
332400,0.5308,657
927500,0.3618,1076
253100,0.4406,913
391500,0.5315,653
135300,0.3839,1038
182800,0.264,1201
229300,0.4571,868
236900,0.4729,822
194800,0.6,468
368300,0.4858,778
348700,0.4317,941
347100,0.5687,547
328000,0.4237,962
240300,0.3229,1143
155800,0.1547,1246
450900,0.4735,819
331800,0.495,759
253600,0.4823,789
2234500,0.4186,969
136500,0.3184,1155
161700,0.5985,471
330600,0.4805,797
726300,0.3216,1146
357800,0.4273,954
200100,0.4621,851
200200,0.4355,929
1258000,0.4444,903
332300,0.4697,832
349200,0.516,701
362500,0.2794,1191
233600,0.4573,867
361000,0.4286,951
374200,0.6515,351
242200,0.3929,1023
339200,0.7642,160
369300,0.3588,1084
319800,0.7068,229
273400,0.7584,167
398700,0.4317,941
398800,0.5455,613
345900,0.3303,1128
109200,0.4467,894
269800,0.2734,1196
358600,0.4349,931
392100,0.5163,699
352300,0.4937,763
313100,0.4372,923
327700,0.5312,655
182200,0.6253,414
187300,0.6373,380
270300,0.5668,550
884900,0.5495,599
314200,0.468,837
905800,0.7405,181
372300,0.4318,939
368800,0.3581,1087
312300,0.4156,972
368100,0.5955,481
248800,0.3673,1067
136300,0.5905,497
188900,0.5709,545
378300,0.5303,661
159700,0.2216,1222
348400,0.5655,555
183200,0.4969,750
394600,0.2598,1205
180300,0.5891,500
315400,0.3365,1123
346900,0.5315,653
236100,0.7168,213
137200,0.356,1091
190400,0.3736,1054
393200,0.54,630
366300,0.3198,1150
1025600,0.596,476
335100,0.6603,332
367700,0.4977,746
370300,0.5,744
382200,0.3983,1011
186700,0.4665,842
815500,0.5623,560
162100,0.2689,1198
109700,0.6255,412
368900,0.3732,1055
193300,0.4815,791
332100,0.4471,893
279000,0.419,966
162500,0.5609,564
2270400,0.1765,1241
3115500,0.3455,1107
177200,0.4627,850
183500,0.4545,878
198000,0.3955,1017
245000,0.475,815
2090700,1,1
253300,0.2613,1204
3516300,0.6667,317
