opeid,pftfac,locale,ugds_white,inexpfte,grad_debt_mdn,pftfac_rank,ugds_white_rank,inexpfte_rank,grad_debt_mdn_rank
243900,0.7629,12,0.0045,5457,32750,-2751,-27865,5731,20224
131300,0.852,23,0.2967,22820,14833,-6564,-14425,-14051,-19350
323700,0.7328,21,0.3638,27370,25000,-1463,-11339,-19235,3106
200400,0.5271,11,0.0033,12378,35000,7341,-27920,-2154,25193
228800,0.8182,21,0.5277,5084,23529,-5118,-3801,6156,-143
121500,0.871,11,0.148,11966,27000,-7378,-21265,-1685,7523
256700,0.6154,33,0.6667,5525,26540,3562,2592,5654,6507
679100,0.3681,21,0.5549,10439,22844,14146,-2550,55,-1656
380300,0.7854,13,0.7304,19220,17500,-3714,5522,-9950,-13459
187100,1,33,0.5983,10604,25538,-12899,-554,-133,4294
283800,0.6131,21,0.3756,20564,19351,3660,-10797,-11481,-9371
382600,0.7117,22,0.5816,7417,23250,-560,-1322,3498,-759
395500,1,13,0.6625,6022,18750,-12899,2399,5087,-10698
284600,0.5352,21,0.6504,10550,19500,6994,1842,-72,-9042
124900,0.7033,11,0.5111,17405,23231.5,-200,-4565,-7882,-800
106100,0.5942,11,0.5309,11261,23250,4469,-3654,-882,-759
293600,0.6236,11,0.0036,7593,31142,3211,-27906,3297,16672
897600,0.6736,21,0.189,5578,26250,1071,-19379,5593,5867
380600,1,32,0.7354,5771,27000,-12899,5752,5373,7523
314700,0.3333,32,0.1917,4240,26350,15635,-19255,7118,6088
298100,0.7231,32,0.7965,7845,21810,-1048,8562,3010,-3940
206800,0.5091,11,0.0147,8576,19500,8111,-27395,2177,-9042
398100,0.7611,12,0.7289,22850,26922.5,-2674,5453,-14085,7352
295000,0.7201,12,0.0623,10349,31000,-919,-25206,157,16358
349900,0.9545,13,0,4728,33170,-10951,-28072,6562,21151
201500,0.7423,11,0.5531,8102,16989,-1869,-2633,2718,-14588
260900,0.3008,21,0.7123,16320,21500,17026,4689,-6646,-4624
142800,0.6088,13,0.1125,11129,28500,3844,-22897,-731,10837
342400,0.7093,32,0.0146,7699,29600,-457,-27400,3177,13266
263900,1,21,0.6397,13732,27532.5,-12899,1350,-3697,8700
144400,0.4827,11,0.5835,20938,25350,9241,-1235,-11907,3879
152100,0.9928,13,0.6056,4482,22500,-12590,-218,6842,-2416
200600,0.9237,32,0.0148,5199,37524,-9633,-27391,6025,30768
283600,0.6888,22,0.5498,11395,20000,420,-2785,-1034,-7938
104700,0.385,41,0.5132,5643,25000,13423,-4468,5519,3106
194500,0.5909,42,0.689,4448,25500,4610,3617,6881,4210
375300,0.9848,32,0.8141,12896,24100,-12248,9371,-2744,1118
113700,0.4618,21,0.2397,7739,14944,10136,-17047,3131,-19105
254700,0.4366,11,0.7261,10440,17625,11214,5324,54,-13183
148800,1,13,0.7232,6879,24873,-12899,5190,4111,2826
206700,0.2827,21,0.0987,10322,27000,17801,-23532,188,7523
123600,0.2772,21,0.3354,7655,22746.5,18036,-12646,3227,-1871
396900,0.8302,11,0.7037,13558,20500,-5631,4294,-3499,-6833
266300,0.7115,11,0.3621,11745,19576,-551,-11418,-1433,-8874
232200,0.6029,33,0.7004,8519,27500,4097,4142,2242,8628
339900,0.3539,22,0.8256,8285,26247,14754,9900,2509,5860
2069000,0.0574,11,0.4844,19412,24000,27443,-5793,-10168,897
153500,0.8494,12,0.5783,15962,15000,-6453,-1474,-6238,-18981
677100,1,11,0.585,11285,27000,-12899,-1166,-909,7523
196000,0.5372,21,0.665,7192,25000,6909,2514,3754,3106
349400,0.3571,41,0.7821,3784,12500,14617,7899,7637,-24503
