opeid,adm_rate,sat_avg,adm_rate_rank,sat_avg_rank
126200,0.6953,1135,2311,-5508
201600,0.9025,1135,13124,-5508
297900,0.7177,1134,3480,-5432
157000,0.7906,1134,7284,-5432
252600,0.5753,1133,-3952,-5357
984100,0.6057,1133,-2365,-5357
326200,0.7082,1133,2984,-5357
263200,0.7554,1133,5447,-5357
160200,0.7624,1132,5812,-5281
367500,0.8142,1131,8516,-5205
109700,0.9912,1131,17753,-5205
268800,0.3806,1130,-14112,-5129
143700,0.7391,1130,4596,-5129
251800,0.6426,1129,-439,-5053
131600,0.5829,1128,-3555,-4978
184400,0.6998,1128,2546,-4978
135000,0.8048,1128,8025,-4978
253200,0.8385,1128,9784,-4978
227900,0.5742,1127,-4009,-4902
316500,0.6401,1127,-570,-4902
281600,0.6586,1127,395,-4902
4095300,0.7039,1127,2760,-4902
242300,0.7102,1126,3088,-4826
195500,0.3366,1125,-16409,-4750
170900,0.5624,1125,-4625,-4750
173400,0.5984,1125,-2746,-4750
223500,0.6079,1125,-2250,-4750
337100,0.6173,1125,-1760,-4750
177600,0.7448,1125,4894,-4750
338400,0.7726,1125,6345,-4750
329800,0.7998,1125,7764,-4750
389200,0.8171,1125,8667,-4750
188700,0.8545,1125,10619,-4750
253100,0.9075,1125,13385,-4750
236100,0.9732,1125,16813,-4750
255500,0.7814,1124,6804,-4675
347700,0.6104,1123,-2120,-4599
284600,0.4193,1122,-12093,-4523
112200,0.754,1122,5374,-4523
368100,0.9576,1122,15999,-4523
273400,0.9381,1121,14982,-4447
241500,0.6304,1120,-1076,-4371
195400,0.834,1120,9549,-4371
1025600,0.9778,1120,17053,-4371
260300,0.7017,1118,2645,-4220
393200,0.9766,1118,16991,-4220
2066200,0.659,1117,416,-4144
349200,0.9339,1117,14762,-4144
398100,0.432,1116,-11430,-4068
104100,0.5177,1116,-6958,-4068
322300,0.749,1116,5113,-4068
362100,0.7836,1116,6919,-4068
222500,0.8264,1116,9152,-4068
305000,0.8291,1116,9293,-4068
115100,0.3448,1115,-15981,-3992
378500,0.7501,1115,5171,-3992
252300,0.6634,1114,646,-3917
374600,0.7672,1114,6063,-3917
314400,0.7315,1113,4200,-3841
110200,0.7061,1112,2874,-3765
321000,0.7776,1112,6606,-3765
365400,0.7899,1111,7248,-3689
160600,0.3486,1110,-15782,-3614
3440300,0.5373,1110,-5935,-3614
364400,0.6613,1110,536,-3614
232300,0.6906,1110,2065,-3614
237100,0.6954,1110,2316,-3614
132200,0.7309,1110,4169,-3614
169200,0.7388,1110,4581,-3614
238800,0.7678,1110,6094,-3614
180000,0.8012,1110,7837,-3614
391700,0.8369,1110,9700,-3614
380200,0.8457,1110,10160,-3614
179900,0.54,1109,-5794,-3538
113300,0.6097,1109,-2156,-3538
108800,0.6142,1109,-1922,-3538
200300,0.6567,1109,296,-3538
130200,0.7595,1109,5661,-3538
388400,0.6745,1108,1225,-3462
136300,0.9604,1108,16145,-3462
282300,0.6252,1107,-1348,-3386
105200,0.8569,1107,10744,-3386
284800,0.4837,1106,-8732,-3310
285300,0.5265,1106,-6498,-3310
234300,0.6618,1106,562,-3310
310000,0.7427,1106,4784,-3310
144800,0.4841,1105,-8711,-3235
348200,0.4971,1105,-8033,-3235
323500,0.588,1105,-3289,-3235
218100,0.616,1105,-1828,-3235
232600,0.6267,1105,-1269,-3235
307300,0.6946,1105,2274,-3235
252100,0.7206,1105,3631,-3235
174100,0.7449,1105,4899,-3235
373500,0.7535,1105,5348,-3235
251900,0.7578,1105,5572,-3235
352300,0.9441,1105,15295,-3235
200800,0.6503,1104,-38,-3159
140200,0.6591,1104,422,-3159
383900,0.7165,1104,3417,-3159
258900,0.8002,1104,7785,-3159
260900,0.4357,1103,-11237,-3083
122000,0.7588,1103,5625,-3083
188300,0.7783,1103,6642,-3083
296000,0.5985,1102,-2741,-3007
196400,0.8875,1102,12341,-3007
180100,0.6447,1101,-330,-2932
185000,0.689,1101,1982,-2932
